,index
5647,SCOC-AS1
5648,CLGN
5649,MGAT4D
5650,ELMOD2
5651,UCP1
5652,TBC1D9
5653,RNF150
5654,ZNF330
5655,IL15
5656,INPP4B
5657,USP38
5658,GAB1
5659,SMARCA5
5660,SMARCA5-AS1
5661,FREM3
5662,GYPE
5663,GYPB
5664,GYPA
5665,HHIP-AS1
5666,HHIP
5667,ANAPC10
5668,ABCE1
5669,OTUD4
5670,SMAD1
5671,SMAD1-AS2
5672,SMAD1-AS1
5673,MMAA
5674,C4orf51
5675,ZNF827
5676,LINC01095
5677,LSM6
5678,SLC10A7
5679,POU4F2
5680,TTC29
5681,EDNRA
5682,TMEM184C
5683,PRMT9
5684,ARHGAP10
5685,NR3C2
5686,DCLK2
5687,LRBA
5688,MAB21L2
5689,RPS3A
5690,SH3D19
5691,PRSS48
5692,FAM160A1
5693,GATB
5694,FBXW7
5695,TMEM154
5696,ARFIP1
5697,TIGD4
5698,FHDC1
5699,TRIM2
5700,MND1
5701,TLR2
5702,RNF175
5703,SFRP2
5704,DCHS2
5705,PLRG1
5706,FGB
5707,FGA
5708,FGG
5709,LRAT
5710,RBM46
5711,NPY2R
5712,MAP9
5713,ASIC5
5714,TDO2
5715,CTSO
5716,PDGFC
5717,GLRB
5718,GRIA2
5719,FAM198B
5720,TMEM144
5721,RXFP1
5722,C4orf46
5723,ETFDH
5724,PPID
5725,FNIP2
5726,C4orf45
5727,RAPGEF2
5728,FSTL5
5729,AC005150.1
5730,NAF1
5731,NPY1R
5732,NPY5R
5733,TKTL2
5734,TMA16
5735,MARCH1
5736,APELA
5737,TRIM61
5738,FAM218A
5739,TRIM60
5740,TMEM192
5741,KLHL2
5742,MSMO1
5743,CPE
5744,LINC01179
5745,TLL1
5746,SPOCK3
5747,ANXA10
5748,DDX60
5749,DDX60L
5750,PALLD
5751,CBR4
5752,SH3RF1
5753,NEK1
5754,CLCN3
5755,MFAP3L
5756,AADAT
5757,LINC01612
5758,GALNTL6
5759,GALNT7
5760,HMGB2
5761,SAP30
5762,SCRG1
5763,HAND2
5764,HAND2-AS1
5765,FBXO8
5766,CEP44
5767,HPGD
5768,GLRA3
5769,ADAM29
5770,GPM6A
5771,WDR17
5772,SPATA4
5773,ASB5
5774,SPCS3
5775,VEGFC
5776,NEIL3
5777,AGA
5778,LINC01098
5779,LINC01099
5780,LINC00290
5781,TENM3
5782,DCTD
5783,WWC2-AS2
5784,WWC2
5785,WWC2-AS1
5786,CLDN22
5787,CLDN24
5788,CDKN2AIP
5789,ING2
5790,RWDD4
5791,TRAPPC11
5792,STOX2
5793,ENPP6
5794,IRF2
5795,CASP3
5796,PRIMPOL
5797,CENPU
5798,ACSL1
5799,MIR3945HG
5800,LINC01093
5801,HELT
5802,SLC25A4
5803,CFAP97
5804,SNX25
5805,LRP2BP
5806,ANKRD37
5807,UFSP2
5808,C4orf47
5809,CCDC110
5810,PDLIM3
5811,SORBS2
5812,TLR3
5813,FAM149A
5814,CYP4V2
5815,KLKB1
5816,F11
5817,F11-AS1
5818,MTNR1A
5819,FAT1
5820,ZFP42
5821,TRIML2
5822,TRIML1
5823,LINC01060
5824,LINC01262
5825,LINC01596
5826,FRG1
5827,FRG2
5828,DBET
5829,DUX4
5830,PLEKHG4B
5831,LRRC14B
5832,CCDC127
5833,SDHA
5834,PDCD6
5835,AHRR
5836,EXOC3-AS1
5837,EXOC3
5838,SLC9A3
5839,CEP72
5840,TPPP
5841,ZDHHC11B
5842,ZDHHC11
5843,BRD9
5844,TRIP13
5845,NKD2
5846,SLC12A7
5847,SLC6A19
5848,SLC6A18
5849,TERT
5850,CLPTM1L
5851,LINC01511
5852,SLC6A3
5853,LPCAT1
5854,MRPL36
5855,NDUFS6
5856,IRX4
5857,IRX2
5858,C5orf38
5859,LINC01019
5860,LINC01017
5861,IRX1
5862,LINC01020
5863,ADAMTS16
5864,ICE1
5865,MED10
5866,UBE2QL1
5867,LINC01018
5868,NSUN2
5869,SRD5A1
5870,ADCY2
5871,C5orf49
5872,MTRR
5873,FASTKD3
5874,MIR4458HG
5875,SEMA5A
5876,SNHG18
5877,TAS2R1
5878,FAM173B
5879,CCT5
5880,CMBL
5881,MARCH6
5882,ROPN1L-AS1
5883,ROPN1L
5884,LINC01513
5885,ANKRD33B
5886,ANKRD33B-AS1
5887,DAP
5888,CTNND2
5889,LINC01194
5890,DNAH5
5891,TRIO
5892,OTULIN
5893,ANKH
5894,FBXL7
5895,MARCH11
5896,ZNF622
5897,MYO10
5898,BASP1
5899,CDH18
5900,CDH12
5901,PRDM9
5902,C5orf17
5903,CDH10
5904,CDH9
5905,CDH6
5906,DROSHA
5907,C5orf22
5908,PDZD2
5909,GOLPH3
5910,MTMR12
5911,ZFR
5912,SUB1
5913,NPR3
5914,TARS
5915,ADAMTS12
5916,RXFP3
5917,SLC45A2
5918,AMACR
5919,C1QTNF3-AMACR
5920,C1QTNF3
5921,RAI14
5922,TTC23L
5923,RAD1
5924,BRIX1
5925,DNAJC21
5926,AGXT2
5927,PRLR
5928,SPEF2
5929,IL7R
5930,CAPSL
5931,UGT3A1
5932,UGT3A2
5933,LMBRD2
5934,SKP2
5935,NADK2
5936,NADK2-AS1
5937,RANBP3L
5938,SLC1A3
5939,NIPBL
5940,NUP155
5941,WDR70
5942,GDNF
5943,GDNF-AS1
5944,EGFLAM
5945,EGFLAM-AS4
5946,EGFLAM-AS3
5947,EGFLAM-AS2
5948,EGFLAM-AS1
5949,LIFR
5950,LIFR-AS1
5951,OSMR-AS1
5952,OSMR
5953,RICTOR
5954,C9
5955,DAB2
5956,LINC00603
5957,LINC00604
5958,PTGER4
5959,TTC33
5960,PRKAA1
5961,RPL37
5962,CARD6
5963,C7
5964,MROH2B
5965,C6
5966,PLCXD3
5967,OXCT1
5968,C5orf51
5969,FBXO4
5970,GHR
5971,CCDC152
5972,ANXA2R
5973,ZNF131
5974,NIM1K
5975,HMGCS1
5976,CCL28
5977,C5orf34
5978,PAIP1
5979,NNT-AS1
5980,NNT
5981,FGF10
5982,FGF10-AS1
5983,MRPS30
5984,HCN1
5985,EMB
5986,PARP8
5987,ISL1
5988,ITGA1
5989,PELO
5990,ITGA2
5991,MOCS2
5992,FST
5993,NDUFS4
5994,ARL15
5995,LINC01033
5996,HSPB3
5997,SNX18
5998,ESM1
5999,GZMK
6000,GZMA
6001,CDC20B
6002,GPX8
6003,MCIDAS
6004,CCNO
6005,DHX29
6006,PLPP1
6007,SLC38A9
6008,DDX4
6009,IL31RA
6010,AC008914.1
6011,IL6ST
6012,ANKRD55
6013,C5orf67
6014,AC008940.1
6015,MAP3K1
6016,AC008937.2
6017,AC008937.3
6018,SETD9
6019,MIER3
6020,AC016644.1
6021,GPBP1
6022,ACTBL2
6023,PLK2
6024,GAPT
6025,RAB3C
6026,PDE4D
6027,PART1
6028,DEPDC1B
6029,ELOVL7
6030,ERCC8
6031,NDUFAF2
6032,SMIM15
6033,ZSWIM6
6034,KIF2A
6035,DIMT1
6036,IPO11
6037,LRRC70
6038,HTR1A
6039,RNF180
6040,RGS7BP
6041,SREK1IP1
6042,CWC27
6043,ADAMTS6
6044,CENPK
6045,PPWD1
6046,TRIM23
6047,TRAPPC13
6048,SGTB
6049,NLN
6050,SREK1
6051,MAST4
6052,MAST4-AS1
6053,CD180
6054,PIK3R1
6055,SLC30A5
6056,CCNB1
6057,CENPH
6058,MRPS36
6059,CDK7
6060,CCDC125
6061,AK6
6062,TAF9
6063,RAD17
6064,MARVELD2
6065,OCLN
6066,GTF2H2C
6067,SERF1B
6068,SMN2
6069,SERF1A
6070,SMN1
6071,NAIP
6072,GTF2H2
6073,BDP1
6074,MCCC2
6075,CARTPT
6076,MAP1B
6077,MRPS27
6078,PTCD2
6079,ZNF366
6080,TNPO1
6081,FCHO2
6082,TMEM171
6083,TMEM174
6084,FOXD1
6085,FOXD1-AS1
6086,LINC01385
6087,LINC01386
6088,BTF3
6089,ANKRA2
6090,UTP15
6091,ARHGEF28
6092,LINC01335
6093,LINC01333
6094,LINC01332
6095,LINC01331
6096,ENC1
6097,HEXB
6098,GFM2
6099,NSA2
6100,FAM169A
6101,GCNT4
6102,LINC01336
6103,ANKRD31
6104,HMGCR
6105,COL4A3BP
6106,POLK
6107,ANKDD1B
6108,POC5
6109,SV2C
6110,AC113404.1
6111,IQGAP2
6112,F2RL2
6113,F2R
6114,F2RL1
6115,S100Z
6116,CRHBP
6117,AGGF1
6118,ZBED3
6119,ZBED3-AS1
6120,PDE8B
6121,WDR41
6122,OTP
6123,TBCA
6124,AP3B1
6125,SCAMP1-AS1
6126,SCAMP1
6127,LHFPL2
6128,ARSB
6129,DMGDH
6130,BHMT2
6131,BHMT
6132,JMY
6133,HOMER1
6134,CMYA5
6135,LINC01455
6136,MTX3
6137,THBS4
6138,SERINC5
6139,SPZ1
6140,ZFYVE16
6141,FAM151B
6142,ANKRD34B
6143,LINC01337
6144,DHFR
6145,MSH3
6146,RASGRF2-AS1
6147,RASGRF2
6148,CKMT2-AS1
6149,CKMT2
6150,ZCCHC9
6151,ACOT12
6152,SSBP2
6153,ATG10
6154,ATG10-AS1
6155,RPS23
6156,ATP6AP1L
6157,LINC01338
6158,TMEM167A
6159,XRCC4
6160,VCAN
6161,VCAN-AS1
6162,HAPLN1
6163,EDIL3
6164,COX7C
6165,RASA1
6166,CCNH
6167,TMEM161B
6168,TMEM161B-AS1
6169,LINC00461
6170,MEF2C
6171,MEF2C-AS1
6172,AC113167.1
6173,CETN3
6174,MBLAC2
6175,POLR3G
6176,LYSMD3
6177,ADGRV1
6178,LUCAT1
6179,ARRDC3
6180,ARRDC3-AS1
6181,NR2F1-AS1
6182,NR2F1
6183,FAM172A
6184,POU5F2
6185,KIAA0825
6186,SLF1
6187,MCTP1
6188,FAM81B
6189,TTC37
6190,ARSK
6191,GPR150
6192,RFESD
6193,SPATA9
6194,RHOBTB3
6195,GLRX
6196,AC008592.4
6197,LINC01554
6198,ELL2
6199,PCSK1
6200,CAST
6201,ERAP1
6202,ERAP2
6203,LNPEP
6204,LIX1
6205,RIOK2
6206,LINC01340
6207,RGMB
6208,RGMB-AS1
6209,AC008522.1
6210,CHD1
6211,FAM174A
6212,ST8SIA4
6213,SLCO4C1
6214,SLCO6A1
6215,LINC00492
6216,LINC00491
6217,PAM
6218,GIN1
6219,PPIP5K2
6220,C5orf30
6221,NUDT12
6222,EFNA5
6223,FBXL17
6224,LINC01023
6225,FER
6226,PJA2
6227,MAN2A1
6228,TMEM232
6229,SLC25A46
6230,TSLP
6231,WDR36
6232,CAMK4
6233,AC010468.2
6234,STARD4
6235,STARD4-AS1
6236,NREP
6237,NREP-AS1
6238,EPB41L4A
6239,EPB41L4A-AS1
6240,APC
6241,SRP19
6242,REEP5
6243,DCP2
6244,MCC
6245,TSSK1B
6246,YTHDC2
6247,KCNN2
6248,TRIM36
6249,PGGT1B
6250,CCDC112
6251,FEM1C
6252,TMED7-TICAM2
6253,TICAM2
6254,TMED7
6255,CDO1
6256,ATG12
6257,AP3S1
6258,LVRN
6259,ARL14EPL
6260,COMMD10
6261,SEMA6A
6262,SEMA6A-AS1
6263,LINC00992
6264,DTWD2
6265,DMXL1
6266,TNFAIP8
6267,HSD17B4
6268,FAM170A
6269,PRR16
6270,FTMT
6271,SRFBP1
6272,LOX
6273,ZNF474
6274,SNCAIP
6275,SNX2
6276,SNX24
6277,PPIC
6278,AC106786.1
6279,PRDM6
6280,CEP120
6281,CSNK1G3
6282,LINC01170
6283,ZNF608
6284,ALDH7A1
6285,PHAX
6286,TEX43
6287,LMNB1
6288,MARCH3
6289,C5orf63
6290,MEGF10
6291,PRRC1
6292,CTXN3
6293,LINC01184
6294,SLC12A2
6295,FBN2
6296,SLC27A6
6297,ISOC1
6298,ADAMTS19-AS1
6299,ADAMTS19
6300,KIAA1024L
6301,CHSY3
6302,HINT1
6303,LYRM7
6304,CDC42SE2
6305,RAPGEF6
6306,FNIP1
6307,MEIKIN
6308,ACSL6
6309,AC034228.3
6310,AC034228.2
6311,IL3
6312,CSF2
6313,P4HA2-AS1
6314,P4HA2
6315,PDLIM4
6316,SLC22A4
6317,SLC22A5
6318,IRF1
6319,IL5
6320,RAD50
6321,TH2LCRR
6322,IL13
6323,IL4
6324,KIF3A
6325,CCNI2
6326,SEPT8
6327,SOWAHA
6328,SHROOM1
6329,GDF9
6330,UQCRQ
6331,LEAP2
6332,AFF4
6333,ZCCHC10
6334,HSPA4
6335,FSTL4
6336,WSPAR
6337,C5orf15
6338,VDAC1
6339,TCF7
6340,SKP1
6341,PPP2CA
6342,CDKL3
6343,UBE2B
6344,CDKN2AIPNL
6345,AC005355.1
6346,JADE2
6347,SAR1B
6348,SEC24A
6349,CAMLG
6350,DDX46
6351,C5orf24
6352,TXNDC15
6353,PCBD2
6354,CATSPER3
6355,PITX1
6356,C5orf66
6357,C5orf66-AS1
6358,C5orf66-AS2
6359,H2AFY
6360,DCANP1
6361,TIFAB
6362,NEUROG1
6363,CXCL14
6364,SLC25A48
6365,IL9
6366,LECT2
6367,TGFBI
6368,SMAD5-AS1
6369,SMAD5
6370,TRPC7
6371,TRPC7-AS1
6372,TRPC7-AS2
6373,SPOCK1
6374,KLHL3
6375,HNRNPA0
6376,MYOT
6377,PKD2L2
6378,FAM13B
6379,WNT8A
6380,NME5
6381,BRD8
6382,KIF20A
6383,CDC23
6384,GFRA3
6385,CDC25C
6386,FAM53C
6387,KDM3B
6388,REEP2
6389,EGR1
6390,ETF1
6391,HSPA9
6392,CTNNA1
6393,AC034243.1
6394,LRRTM2
6395,SIL1
6396,MATR3
6397,MATR3-1
6398,PAIP2
6399,SLC23A1
6400,MZB1
6401,PROB1
6402,SPATA24
6403,DNAJC18
6404,ECSCR
6405,TMEM173
6406,UBE2D2
6407,CXXC5
6408,PSD2
6409,NRG2
6410,PURA
6411,IGIP
6412,CYSTM1
6413,PFDN1
6414,HBEGF
6415,SLC4A9
6416,ANKHD1
6417,ANKHD1-EIF4EBP3
6418,SRA1
6419,EIF4EBP3
6420,APBB3
6421,SLC35A4
6422,CD14
6423,NDUFA2
6424,TMCO6
6425,IK
6426,WDR55
6427,DND1
6428,HARS
6429,HARS2
6430,ZMAT2
6431,PCDHA1
6432,PCDHA2
6433,PCDHA3
6434,PCDHA4
6435,PCDHA5
6436,PCDHA6
6437,PCDHA7
6438,PCDHA8
6439,PCDHA9
6440,PCDHA10
6441,PCDHA11
6442,PCDHA12
6443,PCDHA13
6444,PCDHAC1
6445,PCDHAC2
6446,PCDHB1
6447,PCDHB2
6448,PCDHB3
6449,PCDHB4
6450,PCDHB5
6451,PCDHB6
6452,PCDHB7
6453,PCDHB8
6454,PCDHB16
6455,PCDHB10
6456,PCDHB9
6457,PCDHB11
6458,PCDHB12
6459,PCDHB13
6460,PCDHB14
6461,PCDHB15
6462,TAF7
6463,SLC25A2
6464,PCDHGA1
6465,PCDHGA2
6466,PCDHGA3
6467,PCDHGB1
6468,PCDHGA4
6469,PCDHGB2
6470,PCDHGA5
6471,PCDHGB3
6472,PCDHGA6
6473,PCDHGA7
6474,PCDHGB4
6475,PCDHGA8
6476,PCDHGB5
6477,PCDHGA9
6478,PCDHGB6
6479,PCDHGA10
6480,PCDHGB7
6481,PCDHGA11
6482,PCDHGA12
6483,PCDHGC3
6484,PCDHGC4
6485,PCDHGC5
6486,DIAPH1
6487,HDAC3
6488,RELL2
6489,FCHSD1
6490,ARAP3
6491,PCDH1
6492,PCDH12
6493,RNF14
6494,GNPDA1
6495,NDFIP1
6496,SPRY4
6497,FGF1
6498,AC005592.1
6499,ARHGAP26
6500,ARHGAP26-AS1
6501,NR3C1
6502,HMHB1
6503,YIPF5
6504,KCTD16
6505,PRELID2
6506,GRXCR2
6507,SH3RF2
6508,PLAC8L1
6509,LARS
6510,RBM27
6511,POU4F3
6512,TCERG1
6513,GPR151
6514,PPP2R2B
6515,STK32A
6516,DPYSL3
6517,JAKMIP2-AS1
6518,JAKMIP2
6519,SPINK1
6520,SCGB3A2
6521,C5orf46
6522,SPINK5
6523,SPINK14
6524,SPINK6
6525,SPINK13
6526,SPINK7
6527,SPINK9
6528,FBXO38
6529,HTR4
6530,ADRB2
6531,SH3TC2
6532,ABLIM3
6533,AC012613.2
6534,AFAP1L1
6535,GRPEL2
6536,GRPEL2-AS1
6537,PCYOX1L
6538,IL17B
6539,CARMN
6540,CSNK1A1
6541,ARHGEF37
6542,PPARGC1B
6543,PDE6A
6544,SLC26A2
6545,TIGD6
6546,HMGXB3
6547,CSF1R
6548,PDGFRB
6549,CDX1
6550,SLC6A7
6551,CAMK2A
6552,ARSI
6553,TCOF1
6554,CD74
6555,RPS14
6556,NDST1
6557,SYNPO
6558,MYOZ3
6559,RBM22
6560,DCTN4
6561,SMIM3
6562,IRGM
6563,ZNF300
6564,AC008641.1
6565,GPX3
6566,TNIP1
6567,ANXA6
6568,CCDC69
6569,GM2A
6570,SLC36A3
6571,SLC36A2
6572,SLC36A1
6573,FAT2
6574,SPARC
6575,ATOX1
6576,G3BP1
6577,GLRA1
6578,NMUR2
6579,LINC01470
6580,GRIA1
6581,FAM114A2
6582,MFAP3
6583,GALNT10
6584,SAP30L-AS1
6585,SAP30L
6586,HAND1
6587,LARP1
6588,FAXDC2
6589,CNOT8
6590,GEMIN5
6591,MRPL22
6592,KIF4B
6593,SGCD
6594,TIMD4
6595,HAVCR1
6596,HAVCR2
6597,MED7
6598,ITK
6599,FAM71B
6600,CYFIP2
6601,FNDC9
6602,ADAM19
6603,NIPAL4
6604,AC106801.1
6605,SOX30
6606,C5orf52
6607,THG1L
6608,LSM11
6609,CLINT1
6610,EBF1
6611,RNF145
6612,UBLCP1
6613,IL12B
6614,AC008703.1
6615,AC008691.1
6616,ADRA1B
6617,TTC1
6618,PWWP2A
6619,FABP6
6620,CCNJL
6621,C1QTNF2
6622,ZBED8
6623,SLU7
6624,PTTG1
6625,MIR3142HG
6626,ATP10B
6627,GABRB2
6628,GABRA6
6629,GABRA1
6630,LINC01202
6631,GABRG2
6632,CCNG1
6633,NUDCD2
6634,HMMR
6635,HMMR-AS1
6636,MAT2B
6637,TENM2
6638,WWC1
6639,RARS
6640,FBLL1
6641,PANK3
6642,SLIT3
6643,SPDL1
6644,DOCK2
6645,FAM196B
6646,FOXI1
6647,LINC01187
6648,LCP2
6649,LINC01366
6650,KCNIP1
6651,KCNMB1
6652,GABRP
6653,RANBP17
6654,TLX3
6655,NPM1
6656,FGF18
6657,SMIM23
6658,FBXW11
6659,STK10
6660,EFCAB9
6661,UBTD2
6662,SH3PXD2B
6663,NEURL1B
6664,DUSP1
6665,ERGIC1
6666,RPL26L1
6667,ATP6V0E1
6668,CREBRF
6669,BNIP1
6670,NKX2-5
6671,STC2
6672,BOD1
6673,LINC01484
6674,LINC01485
6675,CPEB4
6676,C5orf47
6677,LINC01411
6678,MSX2
6679,DRD1
6680,SFXN1
6681,HRH2
6682,CPLX2
6683,THOC3
6684,FAM153B
6685,SIMC1
6686,KIAA1191
6687,ARL10
6688,NOP16
6689,HIGD2A
6690,CLTB
6691,FAF2
6692,RNF44
6693,CDHR2
6694,GPRIN1
6695,SNCB
6696,EIF4E1B
6697,TSPAN17
6698,LINC01574
6699,UNC5A
6700,HK3
6701,UIMC1
6702,ZNF346
6703,FGFR4
6704,NSD1
6705,RAB24
6706,MXD3
6707,PRELID1
6708,LMAN2
6709,RGS14
6710,SLC34A1
6711,PFN3
6712,F12
6713,GRK6
6714,PRR7-AS1
6715,PRR7
6716,DBN1
6717,PDLIM7
6718,DOK3
6719,DDX41
6720,FAM193B
6721,TMED9
6722,B4GALT7
6723,FAM153A
6724,PROP1
6725,FAM153C
6726,N4BP3
6727,RMND5B
6728,NHP2
6729,HNRNPAB
6730,PHYKPL
6731,COL23A1
6732,CLK4
6733,ZNF354A
6734,ZNF354B
6735,ZFP2
6736,ZNF454
6737,GRM6
6738,ZNF879
6739,ZNF354C
6740,ADAMTS2
6741,RUFY1
6742,HNRNPH1
6743,CBY3
6744,CANX
6745,MAML1
6746,LTC4S
6747,MGAT4B
6748,SQSTM1
6749,TBC1D9B
6750,RNF130
6751,RASGEF1C
6752,MAPK9
6753,GFPT2
6754,CNOT6
6755,SCGB3A1
6756,FLT4
6757,OR2Y1
6758,MGAT1
6759,LINC00847
6760,ZFP62
6761,BTNL8
6762,BTNL3
6763,BTNL9
6764,OR2V1
6765,OR2V2
6766,TRIM7
6767,TRIM41
6768,TRIM52
6769,AC138035.2
6770,AC138035.1
6771,OR4F3
6772,DUSP22
6773,IRF4
6774,EXOC2
6775,HUS1B
6776,FOXQ1
6777,LINC01394
6778,FOXF2
6779,FOXCUT
6780,FOXC1
6781,GMDS
6782,LINC01600
6783,MYLK4
6784,WRNIP1
6785,SERPINB1
6786,SERPINB9P1
6787,SERPINB9
6788,SERPINB6
6789,LINC01011
6790,NQO2
6791,RIPK1
6792,BPHL
6793,TUBB2A
6794,TUBB2B
6795,PSMG4
6796,SLC22A23
6797,PXDC1
6798,FAM50B
6799,PRPF4B
6800,FAM217A
6801,C6orf201
6802,ECI2
6803,CDYL
6804,RPP40
6805,PPP1R3G
6806,LYRM4
6807,FARS2
6808,NRN1
6809,F13A1
6810,LY86-AS1
6811,LY86
6812,RREB1
6813,SSR1
6814,CAGE1
6815,RIOK1
6816,DSP
6817,SNRNP48
6818,BMP6
6819,TXNDC5
6820,BLOC1S5-TXNDC5
6821,BLOC1S5
6822,EEF1E1-BLOC1S5
6823,EEF1E1
6824,SLC35B3
6825,TFAP2A
6826,TFAP2A-AS1
6827,LINC00518
6828,MIR5689HG
6829,GCNT2
6830,C6orf52
6831,PAK1IP1
6832,TMEM14C
6833,TMEM14B
6834,MAK
6835,GCM2
6836,SYCP2L
6837,ELOVL2
6838,ELOVL2-AS1
6839,SMIM13
6840,ERVFRD-1
6841,NEDD9
6842,TMEM170B
6843,ADTRP
6844,HIVEP1
6845,EDN1
6846,PHACTR1
6847,TBC1D7
6848,GFOD1
6849,GFOD1-AS1
6850,SIRT5
6851,NOL7
6852,RANBP9
6853,MCUR1
6854,RNF182
6855,CD83
6856,LINC01108
6857,JARID2
6858,JARID2-AS1
6859,DTNBP1
6860,MYLIP
6861,GMPR
6862,ATXN1
6863,STMND1
6864,RBM24
6865,CAP2
6866,FAM8A1
6867,NUP153
6868,KIF13A
6869,NHLRC1
6870,TPMT
6871,KDM1B
6872,DEK
6873,RNF144B
6874,ID4
6875,MBOAT1
6876,E2F3
6877,CDKAL1
6878,LINC00581
6879,SOX4
6880,CASC15
6881,NBAT1
6882,PRL
6883,HDGFL1
6884,NRSN1
6885,DCDC2
6886,KAAG1
6887,MRS2
6888,GPLD1
6889,ALDH5A1
6890,KIAA0319
6891,TDP2
6892,ACOT13
6893,C6orf62
6894,GMNN
6895,SCGN
6896,HIST1H2AA
6897,HIST1H2BA
6898,SLC17A4
6899,SLC17A1
6900,SLC17A3
6901,SLC17A2
6902,TRIM38
6903,HIST1H1A
6904,HIST1H3A
6905,HIST1H4A
6906,HIST1H4B
6907,HIST1H3B
6908,HIST1H2AB
6909,HIST1H2BB
6910,HIST1H3C
6911,HIST1H1C
6912,HFE
6913,HIST1H4C
6914,HIST1H1T
6915,HIST1H2BC
6916,HIST1H2AC
6917,HIST1H1E
6918,HIST1H2BD
6919,HIST1H2BE
6920,HIST1H4D
6921,HIST1H3D
6922,HIST1H2AD
6923,HIST1H2BF
6924,HIST1H4E
6925,HIST1H2BG
6926,HIST1H2AE
6927,HIST1H3E
6928,HIST1H1D
6929,HIST1H4F
6930,HIST1H4G
6931,HIST1H3F
6932,HIST1H2BH
6933,HIST1H3G
6934,HIST1H2BI
6935,HIST1H4H
6936,BTN3A2
6937,BTN2A2
6938,BTN3A1
6939,BTN3A3
6940,BTN2A1
6941,BTN1A1
6942,HCG11
6943,HMGN4
6944,ABT1
6945,ZNF322
6946,LINC00240
6947,HIST1H2BJ
6948,HIST1H2AG
6949,HIST1H4I
6950,HIST1H2BK
6951,HIST1H2AH
6952,PRSS16
6953,POM121L2
6954,ZNF391
6955,ZNF184
6956,HIST1H2BL
6957,HIST1H2AI
6958,HIST1H3H
6959,HIST1H2AJ
6960,HIST1H2BM
6961,HIST1H4J
6962,HIST1H4K
6963,HIST1H2BN
6964,HIST1H2AK
6965,HIST1H2AL
6966,HIST1H1B
6967,HIST1H3I
6968,HIST1H4L
6969,HIST1H3J
6970,HIST1H2AM
6971,HIST1H2BO
6972,OR2B2
6973,OR2B6
6974,ZNF165
6975,ZSCAN16-AS1
6976,ZSCAN16
6977,ZKSCAN8
6978,ZSCAN9
6979,ZKSCAN4
6980,NKAPL
6981,ZSCAN26
6982,PGBD1
6983,ZSCAN31
6984,ZKSCAN3
6985,ZSCAN12
6986,ZSCAN23
6987,GPX6
6988,GPX5
6989,ZBED9
6990,LINC00533
6991,LINC01623
6992,HCG14
6993,TRIM27
6994,LINC01556
6995,HCG15
6996,ZNF311
6997,OR2W1
6998,OR2B3
6999,OR2J3
7000,OR2J2
7001,OR14J1
7002,OR5V1
7003,OR12D3
7004,OR12D2
7005,OR11A1
7006,OR10C1
7007,OR2H1
7008,MAS1L
7009,LINC01015
7010,UBD
7011,GABBR1
7012,OR2H2
7013,MOG
7014,ZFP57
7015,HLA-F
7016,HLA-G
7017,HLA-A
7018,HCG9
7019,ZNRD1
7020,PPP1R11
7021,RNF39
7022,TRIM31
7023,TRIM31-AS1
7024,TRIM40
7025,TRIM10
7026,TRIM15
7027,TRIM26
7028,HCG17
7029,HCG18
7030,TRIM39
7031,TRIM39-RPP21
7032,RPP21
7033,HLA-E
7034,GNL1
7035,PRR3
7036,ABCF1
7037,PPP1R10
7038,MRPS18B
7039,ATAT1
7040,C6orf136
7041,DHX16
7042,PPP1R18
7043,NRM
7044,MDC1
7045,MDC1-AS1
7046,TUBB
7047,FLOT1
7048,IER3
7049,HCG20
7050,LINC00243
7051,DDR1
7052,GTF2H4
7053,VARS2
7054,SFTA2
7055,HCG21
7056,MUC21
7057,MUC22
7058,HCG22
7059,C6orf15
7060,PSORS1C1
7061,CDSN
7062,PSORS1C2
7063,CCHCR1
7064,TCF19
7065,POU5F1
7066,HCG27
7067,HLA-C
7068,HLA-B
7069,MICA
7070,LINC01149
7071,MICB
7072,MCCD1
7073,ATP6V1G2-DDX39B
7074,DDX39B
7075,DDX39B-AS1
7076,ATP6V1G2
7077,NFKBIL1
7078,LTA
7079,TNF
7080,LTB
7081,LST1
7082,NCR3
7083,AIF1
7084,PRRC2A
7085,BAG6
7086,APOM
7087,C6orf47
7088,C6orf47-AS1
7089,GPANK1
7090,CSNK2B
7091,LY6G5B
7092,LY6G5C
7093,ABHD16A
7094,LY6G6F
7095,LY6G6E
7096,LY6G6D
7097,LY6G6C
7098,DDAH2
7099,CLIC1
7100,MSH5
7101,MSH5-SAPCD1
7102,SAPCD1
7103,SAPCD1-AS1
7104,VWA7
7105,VARS
7106,LSM2
7107,HSPA1L
7108,HSPA1A
7109,HSPA1B
7110,C6orf48
7111,NEU1
7112,SLC44A4
7113,EHMT2
7114,EHMT2-AS1
7115,C2
7116,ZBTB12
7117,C2-AS1
7118,CFB
7119,NELFE
7120,SKIV2L
7121,DXO
7122,STK19
7123,C4A
7124,C4A-AS1
7125,AL645922.1
7126,C4B
7127,C4B-AS1
7128,CYP21A2
7129,TNXB
7130,ATF6B
7131,FKBPL
7132,PRRT1
7133,PPT2
7134,PPT2-EGFL8
7135,EGFL8
7136,AGPAT1
7137,RNF5
7138,AGER
7139,PBX2
7140,GPSM3
7141,NOTCH4
7142,C6orf10
7143,BTNL2
7144,HLA-DRA
7145,HLA-DRB5
7146,HLA-DRB1
7147,HLA-DQA1
7148,HLA-DQB1
