,index
386,AHDC1
387,FGR
388,IFI6
389,FAM76A
390,STX12
391,PPP1R8
392,THEMIS2
393,RPA2
394,SMPDL3B
395,XKR8
396,EYA3
397,PTAFR
398,DNAJC8
399,SESN2
400,MED18
401,PHACTR4
402,RCC1
403,TRNAU1AP
404,SNHG12
405,TAF12
406,RAB42
407,GMEB1
408,YTHDF2
409,OPRD1
410,EPB41
411,TMEM200B
412,SRSF4
413,MECR
414,PTPRU
415,MATN1
416,MATN1-AS1
417,LAPTM5
418,SDC3
419,PUM1
420,NKAIN1
421,SNRNP40
422,ZCCHC17
423,FABP3
424,SERINC2
425,TINAGL1
426,HCRTR1
427,PEF1
428,COL16A1
429,ADGRB2
430,SPOCD1
431,PTP4A2
432,KHDRBS1
433,TMEM39B
434,KPNA6
435,TXLNA
436,CCDC28B
437,IQCC
438,DCDC2B
439,TMEM234
440,EIF3I
441,FAM167B
442,LCK
443,HDAC1
444,MARCKSL1
445,TSSK3
446,FAM229A
447,BSDC1
448,ZBTB8B
449,ZBTB8A
450,ZBTB8OS
451,RBBP4
452,SYNC
453,KIAA1522
454,YARS
455,S100PBP
456,FNDC5
457,HPCA
458,TMEM54
459,RNF19B
460,AK2
461,AZIN2
462,TRIM62
463,ZNF362
464,A3GALT2
465,PHC2
466,ZSCAN20
467,CSMD2
468,HMGB4
469,CSMD2-AS1
470,C1orf94
471,SMIM12
472,GJB5
473,GJB4
474,GJB3
475,GJA4
476,DLGAP3
477,ZMYM6
478,ZMYM1
479,SFPQ
480,ZMYM4
481,ZMYM4-AS1
482,KIAA0319L
483,NCDN
484,TFAP2E
485,PSMB2
486,C1orf216
487,CLSPN
488,AGO4
489,AGO1
490,AGO3
491,TEKT2
492,ADPRHL2
493,COL8A2
494,TRAPPC3
495,MAP7D1
496,THRAP3
497,SH3D21
498,EVA1B
499,STK40
500,LSM10
501,OSCP1
502,MRPS15
503,CSF3R
504,GRIK3
505,LINC01137
506,ZC3H12A
507,MEAF6
508,SNIP1
509,DNALI1
510,GNL2
511,RSPO1
512,C1orf109
513,CDCA8
514,EPHA10
515,MANEAL
516,YRDC
517,C1orf122
518,MTF1
519,INPP5B
520,SF3A3
521,FHL3
522,POU3F1
523,LINC01343
524,RRAGC
525,MYCBP
526,GJA9
527,RHBDL2
528,AKIRIN1
529,NDUFS5
530,MACF1
531,BMP8A
532,PABPC4
533,HEYL
534,NT5C1A
535,HPCAL4
536,PPIE
537,BMP8B
538,OXCT2
539,TRIT1
540,MYCL
541,MFSD2A
542,CAP1
543,PPT1
544,RLF
545,TMCO2
546,ZMPSTE24
547,COL9A2
548,SMAP2
549,ZFP69B
550,ZFP69
551,EXO5
552,ZNF684
553,RIMS3
554,NFYC-AS1
555,NFYC
556,KCNQ4
557,CITED4
558,CTPS1
559,SLFNL1-AS1
560,SLFNL1
561,SCMH1
562,FOXO6
563,EDN2
564,HIVEP3
565,GUCA2B
566,GUCA2A
567,FOXJ3
568,RIMKLA
569,ZMYND12
570,PPCS
571,CCDC30
572,PPIH
573,YBX1
574,CLDN19
575,P3H1
576,C1orf50
577,SVBP
578,ERMAP
579,ZNF691
580,SLC2A1
581,SLC2A1-AS1
582,FAM183A
583,EBNA1BP2
584,CFAP57
585,TMEM125
586,C1orf210
587,TIE1
588,MPL
589,CDC20
590,ELOVL1
591,MED8
592,SZT2
593,SZT2-AS1
594,HYI
595,PTPRF
596,KDM4A
597,KDM4A-AS1
598,ST3GAL3
599,ARTN
600,IPO13
601,DPH2
602,ATP6V0B
603,B4GALT2
604,CCDC24
605,SLC6A9
606,KLF17
607,KLF18
608,DMAP1
609,ERI3
610,RNF220
611,TMEM53
612,KIF2C
613,RPS8
614,BEST4
615,PLK3
616,TCTEX1D4
617,BTBD19
618,PTCH2
619,EIF2B3
620,HECTD3
621,UROD
622,ZSWIM5
623,LINC01144
624,HPDL
625,MUTYH
626,TOE1
627,TESK2
628,MMACHC
629,PRDX1
630,AKR1A1
631,NASP
632,CCDC17
633,GPBP1L1
634,TMEM69
635,IPP
636,MAST2
637,PIK3R3
638,TSPAN1
639,POMGNT1
640,LURAP1
641,RAD54L
642,LRRC41
643,UQCRH
644,NSUN4
645,FAAH
646,DMBX1
647,MKNK1-AS1
648,KNCN
649,MKNK1
650,MOB3C
651,ATPAF1
652,TEX38
653,EFCAB14-AS1
654,EFCAB14
655,CYP4B1
656,CYP4A11
657,CYP4X1
658,CYP4Z1
659,CYP4A22-AS1
660,CYP4A22
661,LINC00853
662,PDZK1IP1
663,TAL1
664,STIL
665,CMPK1
666,LINC01389
667,FOXE3
668,FOXD2-AS1
669,FOXD2
670,TRABD2B
671,AL356289.1
672,SLC5A9
673,SPATA6
674,AGBL4
675,BEND5
676,ELAVL4
677,DMRTA2
678,FAF1
679,CDKN2C
680,C1orf185
681,LINC01562
682,RNF11
683,TTC39A
684,TTC39A-AS1
685,EPS15
686,OSBPL9
687,NRDC
688,RAB3B
689,TXNDC12
690,KTI12
691,TXNDC12-AS1
692,BTF3L4
693,ZFYVE9
694,CC2D1B
695,ORC1
696,PRPF38A
697,GPX7
698,COA7
699,ZYG11B
700,ZYG11A
701,ECHDC2
702,SCP2
703,AL445183.1
704,PODN
705,SLC1A7
706,CPT2
707,C1orf123
708,MAGOH
709,LRP8
710,DMRTB1
711,GLIS1
712,NDC1
713,YIPF1
714,DIO1
715,HSPB11
716,LRRC42
717,LDLRAD1
718,TMEM59
719,TCEANC2
720,CDCP2
721,CYB5RL
722,MRPL37
723,SSBP3
724,SSBP3-AS1
725,ACOT11
726,FAM151A
727,MROH7
728,MROH7-TTC4
729,TTC4
730,PARS2
731,TTC22
732,LEXM
733,DHCR24
734,TMEM61
735,BSND
736,PCSK9
737,USP24
738,PLPP3
739,PRKAA2
740,C8A
741,C8B
742,DAB1
743,DAB1-AS1
744,OMA1
745,TACSTD2
746,MYSM1
747,JUN
748,LINC01135
749,LINC01358
750,FGGY
751,HOOK1
752,CYP2J2
753,C1orf87
754,NFIA
755,NFIA-AS2
756,TM2D1
757,L1TD1
758,KANK4
759,USP1
760,DOCK7
761,ANGPTL3
762,ATG4C
763,FOXD3-AS1
764,FOXD3
765,ALG6
766,ITGB3BP
767,EFCAB7
768,PGM1
769,ROR1
770,ROR1-AS1
771,UBE2U
772,CACHD1
773,RAVER2
774,JAK1
775,AK4
776,DNAJC6
777,LEPROT
778,LEPR
779,PDE4B
780,SGIP1
781,TCTEX1D1
782,INSL5
783,WDR78
784,MIER1
785,SLC35D1
786,C1orf141
787,IL23R
788,IL12RB2
789,SERBP1
790,GADD45A
791,GNG12
792,GNG12-AS1
793,DIRAS3
794,WLS
795,RPE65
796,DEPDC1
797,DEPDC1-AS1
798,LRRC7
799,LRRC40
800,SRSF11
801,ANKRD13C
802,HHLA3
803,AL158839.1
804,CTH
805,PTGER3
806,ZRANB2-AS1
807,ZRANB2
808,NEGR1
809,LINC01360
810,LRRIQ3
811,FPGT
812,FPGT-TNNI3K
813,TNNI3K
814,LRRC53
815,ERICH3
816,ERICH3-AS1
817,CRYZ
818,TYW3
819,LHX8
820,SLC44A5
821,ACADM
822,RABGGTB
823,MSH4
824,ASB17
825,ST6GALNAC3
826,ST6GALNAC5
827,PIGK
828,AK5
829,USP33
830,NEXN-AS1
831,NEXN
832,FUBP1
833,DNAJB4
834,GIPC2
835,PTGFR
836,IFI44L
837,IFI44
838,ADGRL4
839,ADGRL2
840,LINC01362
841,LINC01361
842,TTLL7
843,PRKACB
844,SAMD13
845,DNASE2B
846,RPF1
847,GNG5
848,CTBS
849,LINC01555
850,SSX2IP
851,LPAR3
852,MCOLN2
853,WDR63
854,MCOLN3
855,SYDE2
856,C1orf52
857,BCL10
858,DDAH1
859,CYR61
860,ZNHIT6
861,COL24A1
862,ODF2L
863,CLCA2
864,CLCA1
865,CLCA4
866,SH3GLB1
867,HS2ST1
868,LINC01140
869,LMO4
870,LINC01364
871,PKN2-AS1
872,PKN2
873,GTF2B
874,RBMXL1
875,GBP3
876,GBP1
877,GBP2
878,GBP7
879,GBP4
880,GBP5
881,GBP6
882,LRRC8B
883,LRRC8C
884,LRRC8D
885,ZNF326
886,BARHL2
887,ZNF644
888,HFM1
889,CDC7
890,TGFBR3
891,BRDT
892,EPHX4
893,SETSIP
894,BTBD8
895,C1orf146
896,GLMN
897,RPAP2
898,GFI1
899,EVI5
900,RPL5
901,FAM69A
902,MTF2
903,TMED5
904,CCDC18
905,DR1
906,FNBP1L
907,BCAR3
908,DNTTIP2
909,GCLM
910,ABCA4
911,ARHGAP29
912,ABCD3
913,F3
914,SLC44A3
915,CNN3
916,ALG14
917,TMEM56
918,TMEM56-RWDD3
919,RWDD3
920,PTBP2
921,DPYD
922,DPYD-AS1
923,DPYD-AS2
924,MIR137HG
925,SNX7
926,PLPPR5
927,PLPPR4
928,PALMD
929,FRRS1
930,AGL
931,SLC35A3
932,MFSD14A
933,SASS6
934,TRMT13
935,LRRC39
936,DBT
937,RTCA-AS1
938,RTCA
939,CDC14A
940,GPR88
941,LINC01349
942,VCAM1
943,EXTL2
944,SLC30A7
945,DPH5
946,S1PR1
947,LINC01307
948,OLFM3
949,COL11A1
950,RNPC3
951,AMY2B
952,AMY2A
953,AMY1A
954,AMY1B
955,AMY1C
956,PRMT6
957,NTNG1
958,VAV3
959,VAV3-AS1
960,SLC25A24
961,NBPF4
962,NBPF6
963,FAM102B
964,HENMT1
965,PRPF38B
966,FNDC7
967,STXBP3
968,AKNAD1
969,SPATA42
970,GPSM2
971,CLCC1
972,WDR47
973,TAF13
974,TMEM167B
975,C1orf194
976,KIAA1324
977,SARS
978,CELSR2
979,PSRC1
980,MYBPHL
981,SORT1
982,PSMA5
983,SYPL2
984,ATXN7L2
985,CYB561D1
986,AMIGO1
987,GPR61
988,GNAI3
989,GNAT2
990,AMPD2
991,GSTM4
992,GSTM2
993,GSTM1
994,GSTM5
995,GSTM3
996,EPS8L3
997,CSF1
998,AHCYL1
999,STRIP1
1000,ALX3
1001,LINC01397
1002,UBL4B
1003,SLC6A17
1004,KCNC4
1005,RBM15
1006,SLC16A4
1007,LAMTOR5
1008,PROK1
1009,KCNA10
1010,KCNA2
1011,KCNA3
1012,CD53
1013,LRIF1
1014,DRAM2
1015,CEPT1
1016,DENND2D
1017,CHI3L2
1018,CHIA
1019,PIFO
1020,OVGP1
1021,WDR77
1022,C1orf162
1023,TMIGD3
1024,ADORA3
1025,RAP1A
1026,LINC01160
1027,DDX20
1028,KCND3
1029,KCND3-AS1
1030,CTTNBP2NL
1031,WNT2B
1032,ST7L
1033,CAPZA1
1034,MOV10
1035,RHOC
1036,PPM1J
1037,FAM19A3
1038,LINC01356
1039,SLC16A1
1040,SLC16A1-AS1
1041,LRIG2
1042,MAGI3
1043,PHTF1
1044,RSBN1
1045,PTPN22
1046,AP4B1-AS1
1047,BCL2L15
1048,AP4B1
1049,DCLRE1B
1050,HIPK1-AS1
1051,HIPK1
1052,OLFML3
1053,SYT6
1054,TRIM33
1055,BCAS2
1056,DENND2C
1057,AMPD1
1058,NRAS
1059,CSDE1
1060,SIKE1
1061,SYCP1
1062,TSHB
1063,TSPAN2
1064,NGF
1065,VANGL1
1066,CASQ2
1067,NHLH2
1068,SLC22A15
1069,MAB21L3
1070,ATP1A1
1071,CD58
1072,IGSF3
1073,C1orf137
1074,CD2
1075,PTGFRN
1076,CD101
1077,TTF2
1078,TRIM45
1079,VTCN1
1080,LINC01525
1081,MAN1A2
1082,GDAP2
1083,WDR3
1084,SPAG17
1085,TBX15
1086,WARS2
1087,WARS2-IT1
1088,HAO2
1089,HSD3B2
1090,HSD3B1
1091,ZNF697
1092,PHGDH
1093,HMGCS2
1094,REG4
1095,ADAM30
1096,NOTCH2
1097,SEC22B
1098,NBPF26
1099,PPIAL4A
1100,LINC00623
1101,FCGR1B
1102,FAM72B
1103,SRGAP2C
1104,SRGAP2-AS1
1105,HIST2H3PS2
1106,FAM72C
1107,IGKV1OR1-1
1108,PPIAL4E
1109,NBPF15
1110,PPIAL4F
1111,SRGAP2B
1112,FAM72D
1113,PPIAL4D
1114,NBPF20
1115,GPR89A
1116,PDZK1
1117,CD160
1118,RNF115
1119,POLR3C
1120,NUDT17
1121,PIAS3
1122,ANKRD35
1123,ITGA10
1124,PEX11B
1125,RBM8A
1126,LIX1L
1127,ANKRD34A
1128,POLR3GL
1129,TXNIP
1130,NBPF10
1131,NOTCH2NL
1132,AC243756.1
1133,NBPF12
1134,PRKAB2
1135,FMO5
1136,CHD1L
1137,LINC00624
1138,BCL9
1139,ACP6
1140,GJA5
1141,GJA8
1142,GPR89B
1143,NBPF11
1144,AC245100.1
1145,PPIAL4G
1146,NBPF14
1147,PDE4DIP
1148,NBPF9
1149,NBPF19
1150,PPIAL4C
1151,FCGR1A
1152,HIST2H2BF
1153,HIST2H3D
1154,HIST2H4A
1155,HIST2H3C
1156,HIST2H2AA3
1157,HIST2H2BE
1158,HIST2H2AA4
1159,HIST2H3A
1160,HIST2H4B
1161,HIST2H2AC
1162,HIST2H2AB
1163,BOLA1
1164,SV2A
1165,SF3B4
1166,MTMR11
1167,OTUD7B
1168,VPS45
1169,PLEKHO1
1170,ANP32E
1171,CA14
1172,APH1A
1173,C1orf54
1174,CIART
1175,MRPS21
1176,AC242988.1
1177,PRPF3
1178,RPRD2
1179,TARS2
1180,ECM1
1181,FALEC
1182,ADAMTSL4
1183,MCL1
1184,ENSA
1185,GOLPH3L
1186,HORMAD1
1187,CTSS
1188,CTSK
1189,ARNT
1190,SETDB1
1191,CERS2
1192,ANXA9
1193,BNIPL
1194,C1orf56
1195,CDC42SE1
1196,MLLT11
1197,GABPB2
1198,SEMA6C
1199,TNFAIP8L2
1200,SCNM1
1201,LYSMD1
1202,TMOD4
1203,VPS72
1204,PIP5K1A
1205,PSMD4
1206,ZNF687
1207,PI4KB
1208,RFX5
1209,SELENBP1
1210,PSMB4
1211,POGZ
1212,CGN
1213,TUFT1
1214,SNX27
1215,CELF3
1216,RIIAD1
1217,MRPL9
1218,OAZ3
1219,TDRKH
1220,LINGO4
1221,RORC
1222,C2CD4D
1223,AL450992.2
1224,THEM5
1225,THEM4
1226,S100A10
1227,S100A11
1228,TCHHL1
1229,TCHH
1230,AL589986.2
1231,RPTN
1232,FLG-AS1
1233,HRNR
1234,FLG
1235,FLG2
1236,CRNN
1237,LCE5A
1238,LCE3C
1239,CRCT1
1240,LCE3E
1241,LCE3D
1242,LCE3B
1243,LCE3A
1244,LINC00302
1245,LCE2D
1246,LCE2C
1247,LCE2B
1248,LCE2A
1249,LCE4A
1250,C1orf68
1251,KPRP
1252,LCE1F
1253,LCE1E
1254,LCE1D
